Title,Artist,Difficulty,Book,Page,URL,Body,Chords,Tags
Good 4 U , Olivia Rodrigo,3,Book 14,60,https://moselele.co.uk/individual_songs/good_4_u.pdf,"[F#m] [E/]
[F#m] [E/]

[F#m] Good for you, I guess
[E] You moved on really easily
[F#m] You found a new girl and
[E] It only took a couple weeks
[F#m] Remember when you said
[E] That you wanted to give me the [D] world [C#7]

[F#m] And good for you, I guess
[E] That youʼve been working on yourself
[F#m] I guess that therapist
[E] I found for you, she really helped
[F#m] Now you can be a better
[E] Man for your brand-new [D] girl [C#7]

[D] Well good for [A] you
[A] You look happy and [E] healthy, not me
[E] If you ever cared to [D] ask
[D] Good for [A] you
[A] Youʼre doing great [E] out there without me, baby
[E] God, I wish that I could do [D] that
[D] Iʼve lost my mind
[A] Iʼve spent the night
[E] Crying on the floor of my [D] bathroom
[D] But youʼre so un-[A]-affected, I really [E] donʼt get it
[E] But I guess good for you
[F#m] [E], [F#m] [E]

[F#m] Well good for you, I guess
[E] Youʼre getting everything you want
[F#m] You bought a new car and
[E] Your careerʼs really taking off
[F#m] Itʼs like we never even happened, [E] baby

MOSELELE.CO.UK

What the [D] fuck. is up. with that[C#7]?
[F#m] And good for you, itʼs like
[E] You never even met me
[F#m] Remember when you swore
[E] To God I was the only
[F#m] Person. who ever got you
[E] Well, screw that and screw you
You will never [D] have to hurt the way you know that [C#7] I do

[D] Well good for [A] you
[A] You look happy and [E] healthy, not me
[E] If you ever cared to [D] ask
[D] Good for [A] you
[A] Youʼre doing great [E] out there without me, baby
[E] God, I wish that I could do [D] that
[D] Iʼve lost my mind
[A] Iʼve spent the night
[E] Crying on the floor of my [D] bathroom
[D] But youʼre so un-[A]-affected, I really [E] donʼt get it
[E] But I guess good for you
[F#m] [E], [F#m] [E]
[D] [A] [E] [E], [D] [A] [E] [E]

[F#m*] Maybe Iʼm too [E*] emotional, [F#m*] But your apathyʼs like a [E*] wound in salt
[F#m*] Maybe Iʼm too [E*] emotional, [F#m*] Or maybe you never [E*] cared at all

[F#m] Maybe Iʼm too [E] emotional, [F#m] But your apathyʼs like a [E] wound in salt
[F#m] Maybe Iʼm too [E] emotional, [F#m] Or maybe you never [E] cared at all

[D] Well good for [A] you
[A] You look happy and [E] healthy, not me
[E] If you ever cared to [D] ask
[D] Good for [A] you
[A] Youʼre doing great [E] out there without me, baby

[E] LIKE A DAMN [D] SO-CI-O-PATH
[D] Iʼve lost my mind
[A] Iʼve spent the night
[E] Crying on the floor of my [D] bathroom
[D] But youʼre so un-[A]-affected, I really [E] donʼt get it
[E] But I guess good for you
[F#m] [E], [F#m] [E]
[F#m*] Well good for you, I guess, You moved on really easily","A, C#7, D, E, F#m",
Helter Skelter , The Beatles,3,Book 14,62,https://moselele.co.uk/individual_songs/helter_skelter.pdf,"[E7]

[E7] When I get to the bottom I go back to the top of the [E6] slide.
Where I stop and I turn and I go for a [Eaug] ride,
Till I get to the bottom, and I see you [G] again,
Yeah, yeah, [E] yeah

[E] Do you, don’t you want me to love you?
I’m coming down fast, but I’m miles above you.
Tell me, tell me, tell me,
Come on [G] tell me the answer,
Well, you [A*] may be a lover, but you ain’t no dan-[E]-cer

[A] Helter Skelter, [E] Helter Skelter,
[A] Helter Skelter, [E*] yeah

[E]
[E] Will you, won’t you want me to make you?
I’m coming down fast, but don’t let me break you.
[G] Tell me, tell me, tell me the answer,
[A*] You may be a lover, but you ain’t no dancer.
[E] Look out

[A] Helter Skelter, [E] Helter Skelter,
[A] Helter Skelter, [E] yeah

[E] Look out ‘cause here she comes
[A]     [E]
[A]     [E]
[E*]

[E7] When I get to the bottom I go back to the top of the [E6] slide.
Where I stop and I turn and I go for a [Eaug] ride,
Till I get to the bottom, and I see you [G] again,
Yeah, yeah, [E] yeah

MOSELELE.CO.UK

[E] Well, do you, don’t you want me to make you?
I’m coming down fast, but don’t let me break you.
[G] Tell me, tell me, tell me your answer,
Well, you [A*] may be a lover, but you ain’t no dan-[E]-cer
Look out

[A] Helter Skelter, [E] Helter Skelter,
[A] Helter Skelter. [E] Look out (Helter Skelter)
She coming down fast
Yes, she is, [E7] yes, she is, coming down fast...","A, E, E6, E7, Eaug, G",
Justified & Ancient , The KLF,3,Book 14,64,https://moselele.co.uk/individual_songs/justified_and_ancient.pdf,"All bound for MuMu land
All bound for MuMu land (hey!)
[Cm]  (Hey! hey!)
[Fm] All bound for MuMu land (justified!)
[Cm]  (Hey! hey!)
[Fm] All bound for MuMu land
[Cm] MuMu land, MuMu land
[Fm] All bound for MuMu land

They're [Eb] justified...and they're [Gm] ancient
And they [Ab] like to roam the [Bb] land (Just roll it from the top)
They're [Eb] justified, and they're [Gm] ancient
I [Ab] hope you under-[Bb]-stand (To the bridge, to the bridge, to the bridge, now)

They [Ab*] called me up in [Eb*] Tennessee
They said [Ab*] ""Tammy...stand by The [Eb*] JAMs""
But [Ab*] if you don't like what they're [Eb*] going to do
You [Bb] better not stop them ‘cause they're coming through (Bring the beat back)

[Cm] (Hey! hey!)
[Fm] All bound for MuMu land (justified!)
[Cm] (Hey! hey!)
[Fm] All bound for MuMu land (ancients of MuMu)
[Cm] MuMu land...MuMu land...
[Fm] All bound for MuMu land

They're [Eb] justified, and they're [Gm] ancient
And they [Ab] drive an ice cream [Bb] van (just roll it from the top)
They're [Eb] justified and they're [Gm] ancient
With [Ab] still no master [Bb] plan (to the bridge, to the bridge, to the bridge, now)

The [Ab*] last train left an [Eb*] hour ago
They were [Ab*] singing...""all a-[Eb*]-board""
[Ab*] All bound for [Eb*] MuMu land
Then [Bb] someone starting screaming ""turn up the strobe"" (bring the beat back)

MOSELELE.CO.UK

[Cm] (Hey! hey!)
[Fm] All bound for MuMu land (justified!)
[Cm] (Hey! hey!)
[Fm] All bound for MuMu land (ancients of MuMu)

(RAPPING)
[Cm*] Justified and ancient, [Cm*] ancient [Cm*] and a-justified,
[Cm*] Rocking to the rhythm in their [Cm*] ice [Cm*] cream van
With the [Cm*] plan and the key to [Cm*] enter [Cm*] into MuMu
[Cm*] Vibes from the tribes of the [Cm*] JAMs [Cm*]
[Cm*] I know where the beat is at [Cm*] cause [Cm*] I know what time it is,
[Cm*] Three on the dot [Cm*] make [Cm*] mine a ""99""
[Cm*] New style, meanwhile, [Cm*] always [Cm*] on a mission
While [Cm*] fishing in the rivers of [Cm*] life [Cm*]
[Cm*] Fishing in the rivers of [Cm*] life [Cm*] (hey!)
[Cm*] Fishing in the rivers of [Cm*] life [Cm*] (hey!)
[Cm*] Fishing in the rivers [Cm*] fishing [Cm*] in the rivers,
[Cm*] Fishing in the rivers of [Cm*] life [Cm*] (hey!)
[Cm*] (Voo-va-voolie) [Cm*] [Cm*]
[Cm*] (Za-shi-va-zom) [Cm*] [Cm*]
[Cm*] (Voo-va-voolie) [Cm*] [Cm*]
[Cm*]       (bring the beat back)

[Cm] (Hey! hey!)
[Fm] All bound for MuMu land (justified!)
[Cm] (Hey! hey!)
[Fm] All bound for MuMu land (justified!)
[Cm] MuMu land... MuMu land (ancients of MuMu)
[Fm] All bound for MuMu land
[Cm] MuMu land... MuMu land (ancients of MuMu)
[Fm*] All bound for MuMu land
MuMu land…MuMu land…
All bound for MuMu land","Ab, Bb, Cm, Eb, Fm, Gm",
I Should Be So Lucky , Kylie Minogue,3,Book 14,66,https://moselele.co.uk/individual_songs/i_should_be_so_lucky.pdf,"[F] [G] [Em] [Am]
[Dm] [G] [C]
[F] [G] [Em] [Am]
[Dm] [G] [C]

In [A] my imagination
There [F#m] is no complication
I [G] dream about you all the [E] time
In my [A] mind a celebration
The [F#m] sweetest of sensation
[G] Thinking you could be [E] mine
In [B] my imagination
There [G#m] is no hesitation
We [F#m] walk together hand in [B] hand
I'm dreaming

[Em] You fell in love with me
[A] Like I'm in love with you
But [Dm] dreaming's all I do
If [G] only they'd come true

[F] I should be so [G] lucky, [Em] lucky, lucky [Am] lucky
[Dm] I should be so [G] lucky in [C] love
I [F] should be so [G] lucky, [Em] lucky, lucky [Am] lucky
[Dm] I should be so [G] lucky in [C] love

It's a [A] crazy situation
You [F#m] always keep me waiting
Be-[G]-cause its only make be-[E]-lieve
And [A] I would come a-running
To [F#m] give you all my loving
If [G] one day you would notice [E] me
My [B] heart is close to breaking
And [G#m] I can't go on faking

MOSELELE.CO.UK

The [F#m] fantasy that you'll be [B] mine
I'm dreaming

[Em] That you're in love with me
[A] Like I'm in love with you
But [Dm] dreaming's all I do
If [G] only they'd come true

[F] I should be so [G] lucky, [Em] lucky, lucky [Am] lucky
[Dm] I should be so [G] lucky in [C] love
[F] I should be so [G] lucky, [Em] lucky, lucky [Am] lucky
[Dm] I should be so [G] lucky in [C] love

[F] I should be so [G] lucky, so [Em*] lucky, so [Am*] lucky
[Dm*] I should be so [G*] lucky, [C] I, I, I, I...
[F] I should be so [G] lucky, so [Em] lucky, so [Am] lucky
[Dm] I should be so [G] lucky, [C] I-I, I-I, I, I-I, I-I, I...

[A] [F#m] [G] [E]

In [B] my imagination
There [G#m] is no hesitation
We [F#m] walk together hand in [B] hand
I'm dreaming
[Em] That you're in love with me
[A] Like I'm in love with you
But [Dm] dreaming's all I do
If [G] only they'd come [C] true

[F] I should be so [G] lucky, [Em] lucky, lucky [Am] lucky
[Dm] I should be so [G] lucky in [C] love
I [F] should be so [G] lucky, [Em] lucky, lucky [Am] lucky
[Dm] I should be so [G] lucky in [C] love

[F] I should be so [G] lucky, [Em] lucky, lucky [Am] lucky
[Dm] I should be so [G] lucky in [C] love
[F] I should be so [G] lucky [Em] lucky, lucky [Am] lucky
[Dm] I should be so [G] lucky in [C] love

[F] I should be so [G] lucky, [Em] lucky, lucky [Am] lucky
[Dm] I should be so [G] lucky in [C*] love","A, Am, B, C, Dm, E, Em, F, F#m, G, G#m",
Single Girl , Lush,3,Book 14,68,https://moselele.co.uk/individual_songs/single_girl.pdf,"[E]/ / / / [E] / / / / [E] / / / / [E] / / / /

[A] [E] [C] [G]
[A] [E] [C] [G]

[A] Single girl, I don't wanna be a [D] single girl
[A] Single girl, I don't wanna be a [D] single girl
[F] Don't wanna [G] be on my [C] own again to-[F]-night
[F] Don't wanna [G] put out the [D] light

[A] Single girl, I don't wanna be a [D] single girl
[A] Single girl, who would wanna be a [D] single girl?
[F] Don't wanna [G] talk to my-[C]-self again to-[F]-night
[F] Don't wanna [G] put out the light [D]

[A] [E] [C] [G]
[A] [E] [C] [G]

[Bm*] When you abandoned me (Aaaaaa-aaah)
[E*] Well, it was heaven sent (Aaaaaa-aaah)
[Bm*] When I abandoned you (Aaaaaa-aaah)
[E*] It was what you meant (Aaaaaa-aaah)
[Bm*] Well, it was me that knew it (Aaaaaa-aaah)
[E*] And it was you that went (Aaaaaa-aaah)
[D*] Haven't changed our minds it was [F*] meant to [E*] be [*]
Ooooooooooooo-wa

[A]                         [D]
[A]                         [D]
[A]                         [D]
[A]                         [D]

MOSELELE.CO.UK

[F] Don't wanna [G] clean up your [C] mess again to-[F]-night
[F] Don't wanna [G] be in a [D] fight
[F] And I can do [G] what I [C] want again to-[F]-night
[F] With who I [G] choose, it's alright [D]

Al-[F]-riiiiight
Al-[D]-riiiiight
Al-[F]-riiiiight

(slow)
[A] Single girl, I just wanna be a [D*] single girl","A, Bm, C, D, E, F, G",
If I Can’t Change Your Mind , Sugar,3,Book 14,70,https://moselele.co.uk/individual_songs/if_i_cant_change_your_mind.pdf,"[F]   [Bb] [F]   [C]
[F]   [Bb] [F]   [C]

[F] Tears fill [Bb] up my eyes
I'm [F] washed away with so-[C]-rrow
[F] And somewhere [Bb] in my mind
I [F] know there's no tomo-[Dm]-[Am]-rrow
[Bb] Well, I see you're lea-[C]-ving soon
I [F] guess you've [C] had your [Dm] fill [Am]
But if [Bb] I can't change your [C] mind, then no one [F] will

[Bb] [F]   [C]
[F]   [Bb] [F]   [C]

[F] And all through-[Bb]-out the years
I've [F] never strayed from [C] you, my dear
[F] But you suspect I'm [Bb] somewhere else
You're [F] feeling sorry [Dm] for your-[Am]-self
[Bb] Leaving with a bro-[C]-ken heart
I [F] love you [C] even [Dm] still [Am]
But if [Bb] I can't change your [C] mind, then no one [F] will [Bb] [F]
If I [C] can't change your [F] mind [Bb] [F] [C]

[Am] Even though my [Bb] heart keeps breaking
[Dm] Don't you know that [Eb] I'll be waiting
[F] Here for you [F]
[Am] Then when you [Bb] return
[Am] When will you [Bb] return
I [Dm] hope you see I'm dedicated
[Eb] Look how long that I have waited
If [Gm7] you come back, then you will find
A [Bb] different person if [C] you change your [F] mind

MOSELELE.CO.UK

[Bb] [F]   [C]
[F]   [Bb] [F]   [C]

[F] How can I [Bb] explain away
Something that I have-[C]-n't done
[F] And if you can't [Bb] trust me now
You'll [F] never trust in [Dm] any-[Am]-one
With [Bb] all the crazy [C] doubts you've got
I [F] love you [C] even [Dm] still [Am]
But if [Bb] I can't change your [C] mind, then no one [F] will [Bb] [F]
If I [C] can't change [C] your [F] mind [Bb] [F] [Dm] [Am]

[Bb] Someday you'll see [C] I've been true
I'll [F] stay that [C] way un-[Dm]-til [Am]
But if [Bb] I can't change your [C] mind, then no one [F] will [Bb] [F]
If I [C] can't change your [F] mind [Bb] [F]
If I [C] can't change your [F] mind [Bb] [F]
If I [C] can't change your [F] mind [Bb] [F] [C]
[F*]   [Bb*] [F*]   [C*] [F*]","Am, Bb, C, Dm, Eb, F, Gm7",
Reelin’ In the Years , Steely Dan,3,Book 14,72,https://moselele.co.uk/individual_songs/reelin_in_the_years.pdf,"[G]   [A]
[G]   [A]

[D] Your everlasting [A] summer you can [Bm] see it fading [A] fast
So, [D] you grab a piece of [A] something that you [Bm] think is gonna last [A]
Well, [G] you wouldn't know a [D] diamond if you [Dm] held it in your [A] hand
The [D] things you think are [A] precious, I can't [Bm] understand [A]

Are you reelin' in the [G] years?
Stowing away the [A] time?
Are you gathering up the [G] tears?
Have you had enough of [A] mine? [*]
Are you reelin' in the [G] years?
Stowing away the [A] time?
Are you gathering up the [G] tears?
Have you had enough of [F#m] mine?

[D]
You been [D] telling me you're a [A] genius since [Bm] you were seven-[A]-teen
In [D] all the time I've [A] known you, I still don't [Bm] know what you mean [A]
The [G] weekend in the [D] college didn't [Dm] turn out like you [A] planned
The [D] things that pass for [A] knowledge, I can't [Bm] understand [A*]

Are you reelin' in the [G] years?
Stowing away the [A] time?
Are you gathering up the [G] tears?
Have you had enough of [A] mine? [*]
Are you reelin' in the [G] years?
Stowing away the [A] time?
Are you gathering up the [G] tears?
Have you had enough of [F#m] mine?

MOSELELE.CO.UK

[G]   [A]
[G] ///   [A*]

[D]
I [D] spend a lot of [A] money and I [Bm] spent a lot of [A] time
The [D] trip we made to [A] Hollywood is etched [Bm] upon my [A] mind
After [G] all the things we've [D] done and seen, you [Dm] find another [A] man
The [D] things you think are [A] useless, I can't [Bm] understand [A]

Are you reelin' in the [G] years?
Stowing away the [A] time?
Are you gathering up the [G] tears?
Have you had enough of [A] mine? [*]
Are you reelin' in the [G] years?
Stowing away the [A] time?
Are you gathering up the [G] tears?
Have you had enough of [F#m] mine? [F#m*]","A, Bm, D, Dm, F#m, G",
Only Happy When It Rains , Garbage,3,Book 14,74,https://moselele.co.uk/individual_songs/only_happy_when_it_rains.pdf,"I'm only happy when it [Am] rains [G]
I'm only happy when it's [F] complicated [Dm]
And though I know you can't [F] appreciate it [G]
I'm only happy when it [Am] rains [G]
You know I love it when the [F] news is bad [Dm]
Oh, why it feels so good to [F] feel so sad [G]
I'm only happy when it [C] rains

[D] Pour your [A] misery down
[Bb] Pour your [C] misery down on [D] me
[D] Pour your [A] misery down
[Bb] Pour your [C] misery down on [G] me [G*]

I'm only happy when it [Am] rains [G]
I feel good when things are [F] going wrong [Dm]
I only listen to the [F] sad sad songs [G]
I'm only happy when it [C] rains

[D] [A] [Bb] [C]
[D] [A] [Bb] [C] [*]

I only smile in the [Am] dark [G]
My only comfort is the [F] night gone black [Dm]
I didn't accidentally [F] tell you that [G]
I'm only happy when it [Am] rains [G]
You'll get the message by the [F] time I'm through [Dm]
When I complain about [F] me and you [G]
I'm only happy when it [C] rains

[D] Pour your [A] misery down
[Bb] Pour your [C] misery down on [D] me
Pour your [A] misery down
[Bb] Pour your [C] misery down on [D] me
Pour your [A] misery down

MOSELELE.CO.UK

[Bb] Pour your [C] misery down on [D] me
Pour your [A] misery down
[Bb] You can keep me company as
[C] Long as you don't [G] care [G*]

I'm only happy when it [Am] rains [G]
You wanna hear about my [F] new obsession? [Dm]
I'm riding high upon a [F] deep depression [G]
I'm only happy when it [Am] rains

(Pour some [F] misery down on [Dm] me) I'm only happy when it
[Am] rains (Pour some [F] misery down on [Dm] me) I'm only happy when it
[Am] rains (Pour some [F] misery down on [Dm] me) I'm only happy when it
[Am] rains (Pour some [F] misery down on [Dm] me) I'm only happy when it
[Am] rains (Pour some [F] misery down on [Dm] me)
[Am] (Pour some [F] misery down on [Dm] me)
[Am] (Pour some [F] misery down on [Dm] me)
[Am] (Pour some [F] misery down on [Dm] me)","A, Am, Bb, C, D, Dm, F, G",
Fire Woman , The Cult,3,Book 14,76,https://moselele.co.uk/individual_songs/fire_woman.pdf,"[G/]   [C/]  [D/]      [F/]  [C/]   [D/]
[G/]   [C/]  [D/]      [G/]
[G]   [C]  [D]      [F]  [C]   [D]
[G]   [C]  [D]      [G]            [G]       [G]

[Dm]          [C]       [G]    [C] Shake, shake, shake, shake
[Dm] it, yay, [C]       [G]    [C]

[Dm] Wound up, can't sleep, [C] can't do anything [G] right, little honey
[C] Oh, since I set my [Dm] eyes on you, [C] I [G] tell you the truth [C]

T-t-t-t-t-[Dm]-twisting like a flame in [F] a slow dance baby, [G]
[F] You're driving me crazy, come [Dm] on little honey, [F]
[Dm] come on [G//] now [G//] [F/]

Fi-[Dm]-ire...-[C]-re...-re-re-[G]-re, smoke she is a [C] rising
Fi-[Dm]-ire, yeah [F] smoke on the [G] horizon, well [C]
Fi--[Dm]-ire...-[C]-re...-re-re-[G]-re, smoke she is a [C] rising
Fi-[Dm]-ire [F] oh, smokestack [G] lightning, [C] smokestack lightning

[Dm]    [C]     [G]     [C]
[Dm]    [C]     [G]     [C] Well now

[Dm] Shaken up, [C] you're to blame, you've got me [G] sweatin' little honey [C]
My heart's a ball of [Dm] burnin' flame, [C] oh, [G] yes, it is [C]

[Dm] Twisting like a cat on [F] a hot tin shack, [G] [F] Lord have mercy,
Come [Dm] on little sister, [F] come [Dm] on and [G//] shake it [G//] [F/]

Fi-[Dm]-ire...-[C]-re...-re-re-[G]-re, smoke she is a [C] rising
Fi--[Dm]-ire[F] oh, smoke on the [G] horizon, [C] yeah
Fi-[Dm]-ire...-[C]-re...-re-re-[G]-re, smoke she is [C] a rising
Fi-[Dm]-ire   [F] oh, smokestack [G] lightning, baby [C]

MOSELELE.CO.UK

(slow)
[Dm]      [C]       [G]     [C]
[Dm]      [C]       [G]     [C*]

[G]    [C]  [D] mm, I was thinking
[F]    [C]  [D]  what I've been missing
[G]    [C]  [D] I'll tell you truth-[G]-fully, well

[G] [C] [D] She's coming close now,
[F] [C] [D] Oh, I can feel her,
[G] [C] [D] She's getting close to [G] me,
And I never

(faster)
[A]      [G]       [D]    [G]
[A]      [G]       [D]    [G]

Fi-[Dm]-ire...-[C]-re...-re-re-[G]-re, smoke she is a [C] rising
Fi--[Dm]-ire[F] oh, smoke on the [G] horizon, [C] yeah
Fi-[Dm]-ire...-[C]-re...-re-re-[G]-re, smoke she is [C] a rising, rising, rising
Fi-[Dm]-ire  [F] oh, smokestack [G] lightning, baby [C] Ja-ja-ja-ja-ja-jow

[Dm] Burnin' out and [C] shake it baby, [G] come on and [C] burn it
[Dm] Send down fire to me, [F] say send down fire to me, [G] say send down fire to
[C] me, yeah
[Dm] Fire woman, [C] you're to blame [G] Fire woman, you're to [C] blame
[Dm] Fire woman, [F] you're to blame [G] Fire woman, you're to [C] blame
[Dm*]

[G/]   [C/]  [D/]","A, C, D, Dm, F, G",
Walking With the Ghost , Tegan and Sara,3,Book 14,78,https://moselele.co.uk/individual_songs/walking_with_the_ghost.pdf,"[F#m]// [D]// [E]// [E] [D]
[F#m]// [D]// [E]// [E] [D]

No [F#m] matter which [D] way you go [E] [D]
No [F#m] matter which [D] way you stay [E]
You're [E] out [D] of my [F#m] mind, [D] out of [E] my mind
[E] Out [D] of my [F#m] mind, [D] out of [E] my mind [E] [D]
[C#m] I was [B] walking with a [A] ghost
[A] I [B] said [C#m] please, [B] please don't [A] insist [A] [B]
[C#m] I was [B] walking with a [A] ghost
[A] I [B] said [C#m] please, [B] please don't [A] insist [A] [B]

No [F#m] matter which [D] way you go [E] [D]
No [F#m] matter which [D] way you stay [E]
You're [E] out [D] of my [F#m] mind, [D] out of [E] my mind
[E] Out [D] of my [F#m] mind, [D] out of [E] my mind [E] [D]
[C#m] I was [B] walking with a [A] ghost
[A] I [B] said [C#m] please, [B] please don't [A] insist [A] [B]
[C#m] I was [B] walking with a [A] ghost
[A] I [B] said [C#m] please, [B] please don't [A] insist [A] [B]

No [F#m] matter which [D] way you go [E] [D]
No [F#m] matter which [D] way you stay [E]
You're [E] out [D] of my [F#m] mind, [D] out of [E] my mind
[E] Out [D] of my [F#m] mind, [D] out of [E] my mind [E] [D]
[F#m] I was [D] walking with a [E] ghost [E] D
[F#m] I was [D] walking with a [E] ghost

MOSELELE.CO.UK

[E] Out [D] of my [F#m] mind (I said please), [D] out of [E] my mind
[E] Out [D] of my [F#m] mind (I said please), [D] out of [E] my mind
[E] Out [D] of my [F#m] mind, [D] out of [E] my mind
You're [E] out [D] of my [F#m] mind, [D] out of [E] my mind

[E] Out [D] of my [F#m] mind, [D] out of [E] my mind [E] [D]
[E] Out [D] of my [F#m] mind, [D] out of [E] my mind [E] [D]
[E] Out [D] of my [F#m] mind, [D] out of [E] my mind [E] [D]

[F#m] I was [D] walking with a [E] ghost [E] [D]
[F#m] I was [D] walking with a [E] ghost [E] [D]
[F#m] I was [D] walking with a [E] ghost [E] [D]
[F#m] I was [D] walking with a [E] ghost [E] [D]
[F#m] I was [D] walking with a [E] ghost [E] [D]","A, B, C#m, D, E, F#m",
Gone Daddy Gone , The Violent Femmes,3,Book 14,80,https://moselele.co.uk/individual_songs/gone_daddy_gone_.pdf,"[Dm]   [Dm7]   [G]   [Bb]
[Dm]   [Dm7]   [G]   [Bb]
[Dm]   [Dm7]   [G]   [Bb]
[Dm]   [Dm7]   [G]   [Bb]

[Dm] Beautiful [Dm7] girl, [G] lovely [Bb] dress
[Dm] High school [Dm7] smiles, [G] oh [Bb] yes
[Dm] Beautiful [Dm7] girl, [G] lovely [Bb] dress
[Dm] Where she is [Dm7] now, I can [G] only [Bb] guess

Cause it's [Dm] gone daddy [F] gone, the [G] love is [Bb] gone
Yeah, it's [Dm] gone daddy [F] gone, the [G] love is [Bb] gone
Yeah, it's [Dm] gone daddy [F] gone, the [G] love is [Bb] gone
Yeah, it's [Dm] gone daddy [F] gone, the [G] love is [Bb] gone
[Dm] away [Dm7]   [G]   [Bb]
[Dm]      [Dm7]   [G]   [Bb]

[Dm] When [Dm7] I [G] see [Bb] you
[Dm] Eyes [Dm7] will [G] turn [Bb] blue
[Dm] When [Dm7] I [G] see [Bb] you
A [Dm] thousand [Dm7] eyes [G] turning [Bb] blue

Cause it's [Dm] gone daddy [F] gone, the [G] love is [Bb] gone
Yeah, it's [Dm] gone daddy [F] gone, the [G] love is [Bb] gone
Yeah, it's [Dm] gone daddy [F] gone, the [G] love is [Bb] gone
Yeah, it's [Dm] gone daddy [F] gone, the [G] love is [Bb] gone
[Dm] away [Dm7]   [G]   [Bb]

[Dm]   [Dm7]   [G]   [Bb]
[Dm]   [Dm7]   [G]   [Bb]
[Dm]   [Dm7]   [G]   [Bb]
[Dm]   [Dm7]   [G]   [Bb]

MOSELELE.CO.UK

[Dm] Tell by the [Dm7] way you that you [G] switch and [Bb] walk
I can [Dm] see by the [Dm7] way that you [G] baby [Bb] talk
I can [Dm] know by the [Dm7] way that you [G] treat your [Bb] man
I can [Dm] love you, [Dm7] baby, it's a [G] cryin'.... [Bb]

Cause it's [Dm] gone daddy [F] gone, the [G] love is [Bb] gone
Yes, it's [Dm] gone daddy [F] gone, the [G] love is [Bb] gone
[Dm] Gone daddy [F] gone (the [G] love is [Bb] gone)
Yeah, it's [Dm] gone daddy [F] gone (the [G] love is [Bb] gone)

[Dm] Beautiful [Dm7] girl, [G] lovely [Bb] dress (Gone daddy gone, love is gone)
[Dm] Fifteen [Dm7] smiles, [G] oh [Bb] yes         (Gone daddy gone, love is gone)
[Dm] Beautiful [Dm7] girl, [G] lovely [Bb] dress       (Gone daddy gone, love is gone)
But [Dm] where she is [Dm7] now, I can [G] only [Bb] guess (Gone daddy gone, love is gone)

Cause it's [Dm] gone daddy [F] gone, (the [G] love is [Bb] gone)
Yes, it's [Dm] gone daddy [F] gone (the [G] love is [Bb] gone)
Said it's [Dm] gone daddy [F] gone (the [G] love is [Bb] gone)
Yeah, it's [Dm] gone daddy [F] gone, the [G] love is [Bb] gone
[Dm] Away   [F]         [G]       [Bb] gone
[Dm] away   [F]  (way,  [G] way)  [Bb] gone
[Dm] away   [F]         [G] (way) [Bb] gone
[Dm] Away   [F]         [G]       [Bb]
[Dm]        [F]         [G]       [Bb]
[Dm]        [F]         [G]       [Bb]
[Dm]","Bb, Dm, Dm7, F, G",
Up From the Bottom , Linkin Park,3,Book 14,82,https://moselele.co.uk/individual_songs/up_from_the_bottom.pdf,"[F#m] [D] [C] [E]
[F#m] [D] [C]
[F#m] [D] [C] [E]
[F#m] [D] [C*]

Inside it [F#m] feels like I've been barely [D] breathing
[E] Feels like air is running [C] out
Inside I'm [F#m] stuck here staring at a [D] ceiling
[E] You put up to keep me [C] down, down, down, down, down

[D] Waking up without a name [A]
Opening my [E] eyes
Knowing nothing is the same
[D] Circling around a [A] drain
As I [E] realise that there's no one else to blame [*]

You keep me [F#m] waiting, down [E] here, so far below
Staring [D] up from the [A] bottom, [E] up from the [C] bottom
I try [F#m] escaping, but there's [E] nowhere to go
Staring [D] up from the [A] bottom, [E] up from the [C*] bottom

[F#m] [D] [C] [E]

Each time I [F#m] hold my fist inside my [D] pocket
[E] Hold my breath until I'm [C] blue
Feels like a [F#m] knife pushed deep inside a [D] socket
[E] Bristling, listening to [C] you, you, you, you, you

[D] Waking up without a name [A]
Opening my [E] eyes
Knowing nothing is the same
[D] Circling around a [A] drain
As I [E] realise that there's no one else to blame [*]

MOSELELE.CO.UK

You keep me [F#m] waiting, down [E] here, so far below
Staring [D] up from the [A] bottom, [E] up from the [C] bottom
I try [F#m] escaping, but there's [E] nowhere to go
Staring [D] up from the [A] bottom, [E] up from the [C*] bottom

[D*] Everybody out, that devil is coming
Poison on his lips, and his words mean nothing
[F#m*] Cruel like a mountaintop, father never loved him
Mama said he's bad enough [A*] times that it sunk in
[D*] Everybody out, that devil is coming
Promise you the world, but he's always bluffing
[F#m*] Before you even know it's a trap you're stuck in
He's gone like a ghost, already off running

[D] [D] [E] [E] [F#m] [F#m] [A] [A]
[D] [D] [E] [E] [F#m] [F#m] [A] [A]

You keep me [F#m*] waiting, down [A*] here, [E*] so far below
Staring [D*] up from the [A*] bottom, [E*] up from the bottom
I try [F#m] escaping, but [A] there's [E] nowhere to go
Staring [D] up from the [A] bottom, [E] gotta get out of here
[D] Up from the [A] bottom, [E] tryin to get out of here [F#m] [D] [E] [C]","A, C, D, E, F#m",
